DateHeure,P_NET_TRAFO,V_avg_trafo,P_TENNIS,V_avg_tennis
2020-09-20 08:30:00,296.0,237.38,-7930.0,237.77016136036357
2020-09-20 08:45:00,9091.0,237.8,-17090.0,238.38215264570462
2020-09-20 09:00:00,8871.0,237.61,-16350.0,238.5726782345372
2020-09-20 09:15:00,7683.0,236.62,-19380.0,238.4745286887749
2020-09-20 09:30:00,16079.0,236.48,-36740.0,238.53803721838582
2020-09-20 09:45:00,16913.0,236.33,-39860.0,239.65809674061367
2020-09-20 10:00:00,23790.0,236.33,-49400.0,240.974455354366
2020-09-20 10:15:00,28769.0,235.92,-54210.0,240.72042123592254
2020-09-20 10:30:00,30301.0,237.75,-56250.0,240.8416647924524
2020-09-20 10:45:00,26594.0,238.14,-58310.0,243.1568393719028
2020-09-20 11:00:00,30925.0,237.71,-63460.0,244.0170912729953
2020-09-20 11:15:00,33096.0,238.0,-66620.0,243.67645461417348
2020-09-20 11:30:00,35927.0,237.85,-73170.0,244.76764662294187
2020-09-20 11:45:00,34795.0,237.66,-73890.0,245.0216807413853
2020-09-20 12:00:00,40761.0,238.18,-76230.0,245.0216807413853
2020-09-20 12:15:00,26957.0,239.03,-70420.0,244.68104408256343
2020-09-20 12:30:00,29619.0,239.12,-77650.0,247.31953481276
2020-09-20 12:45:00,28840.0,239.49,-86710.0,248.2606157515391
2020-09-20 13:00:00,51333.0,239.52,-98860.0,250.22360666678384
2020-09-20 13:15:00,26839.0,239.62,-82180.0,248.7802309938097
2020-09-20 13:30:00,52291.0,239.68,-92670.0,250.50650829868675
2020-09-20 13:45:00,21876.0,240.27,-72250.0,247.23870577507347
2020-09-20 14:00:00,35812.0,239.52,-82740.0,250.14855113178916
2020-09-20 14:15:00,45056.0,239.67,-78170.0,248.42227382691215
2020-09-20 14:30:00,34086.0,239.77,-54230.0,245.63367202672632
2020-09-20 14:45:00,6356.0,239.89,-36750.0,243.16261287459469
2020-09-20 15:00:00,30552.0,240.11,-53300.0,245.8068771074832
2020-09-20 15:15:00,25802.0,239.89,-43700.0,244.17297584567655
2020-09-20 15:30:00,20764.0,239.48,-33380.0,243.1048778476757
2020-09-20 15:45:00,24893.0,239.6,-30280.0,242.06564736313442
2020-09-20 16:00:00,20013.0,239.35,-26960.0,240.89362631667944
2020-09-20 16:15:00,16759.0,239.26,-23790.0,240.2700880259547
2020-09-20 16:30:00,19156.0,239.11,-21630.0,240.085335939814
2020-09-20 16:45:00,23819.0,239.03,-18200.0,239.21931053602955
2020-09-20 17:00:00,16077.0,237.11,-10370.0,238.05883649495843
2020-09-20 17:15:00,11230.0,237.15,-4470.0,235.80139694242698
2020-09-20 17:30:00,9713.0,237.13,-3890.0,235.6281918616701
2020-09-20 17:45:00,7758.0,237.28,-4920.0,235.63973886705384
2020-09-20 18:00:00,7555.0,237.1,-9540.0,236.6962898596709
2020-09-20 18:15:00,11049.0,236.95,-9500.0,237.25054611809293
2020-09-20 18:30:00,6965.0,236.45,-4120.0,236.56927280044917
2020-09-20 18:45:00,4267.0,236.71,-2090.0,235.60509785090247
2020-09-20 19:00:00,4770.0,236.46,-1570.0,235.8764524774216
2020-09-20 19:15:00,4844.0,235.99,-1010.0,235.59932434821062
